name,web_name,party,id
"Dansk Folkeparti",danskfolkeparti,O,138
"Df Ungdom",DfUngdom,O,139
Radikale,radikalevenstre,B,140
"Radikal Ungdom",radikalungdom,B,141
SF,sfparti,F,142
"SF Ungdom",sfungdom,F,143
Konservative,Konservative,C,144
"Konservativ Ungdom",konservativungdom,C,145
"Liberal Alliance",LiberalAlliance,I,146
"Liberal Ungdom",LiberalUngdom,I,147
Enhedslisten,enhedslisten,OE,148
Alternativet,alternativet.dk,AA,149
Nationalpartiet,nationalpartiet2014,N,150
