word,id
heller,1
gerne,2
mennesker,3
ser,4
rigtig,5
hellere,6
bruge,7
gået,8
tror,9
aldrig,10
disse,11
finde,12
inden,13
altid,14
mener,15
ellers,16
endnu,17
give,18
dit,19
burde,20
nej,21
god,22
ha,23
hansen,24
jensen,25
nielsen,26
håber,27
snart,28
bedre,29
lad,30
sgu,31
tak,32
www,33
http,34
